Epoch 0/500, LR: [0.001], Avg Train Loss: 0.311903, Train Accuracy: 0.9016241879060469, Val Accuracy: 0.500998003992016
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.287690, Train Accuracy: 0.9016491754122938, Val Accuracy: 0.500998003992016
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.279020, Train Accuracy: 0.9016241879060469, Val Accuracy: 0.500998003992016
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.279427, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.272430, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.263004, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.262097, Train Accuracy: 0.9017991004497751, Val Accuracy: 0.500998003992016
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.253018, Train Accuracy: 0.905472263868066, Val Accuracy: 0.500998003992016
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.251560, Train Accuracy: 0.9062968515742129, Val Accuracy: 0.500998003992016
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.251439, Train Accuracy: 0.9061719140429785, Val Accuracy: 0.500998003992016
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.247053, Train Accuracy: 0.9063718140929535, Val Accuracy: 0.500998003992016
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.246278, Train Accuracy: 0.9058220889555222, Val Accuracy: 0.500998003992016
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.247586, Train Accuracy: 0.9071714142928535, Val Accuracy: 0.500998003992016
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.245080, Train Accuracy: 0.9076461769115443, Val Accuracy: 0.5010978043912175
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.240744, Train Accuracy: 0.9086206896551724, Val Accuracy: 0.5015968063872256
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.237617, Train Accuracy: 0.9095702148925537, Val Accuracy: 0.5012974051896207
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.234035, Train Accuracy: 0.9070464767616192, Val Accuracy: 0.500998003992016
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.234097, Train Accuracy: 0.9098700649675162, Val Accuracy: 0.500998003992016
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.232603, Train Accuracy: 0.9111944027986006, Val Accuracy: 0.500998003992016
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.230999, Train Accuracy: 0.9109445277361319, Val Accuracy: 0.5010978043912175
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.232560, Train Accuracy: 0.9109695152423788, Val Accuracy: 0.5010978043912175
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.230425, Train Accuracy: 0.9106196901549225, Val Accuracy: 0.5012974051896207
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.228655, Train Accuracy: 0.9112943528235882, Val Accuracy: 0.500998003992016
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.230842, Train Accuracy: 0.9110444777611194, Val Accuracy: 0.500998003992016
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.228251, Train Accuracy: 0.9117191404297851, Val Accuracy: 0.5010978043912175
