Epoch 0/500, LR: [0.001], Avg Train Loss: 0.545134, Train Accuracy: 0.8057471264367816, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.422971, Train Accuracy: 0.7978260869565217, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.423039, Train Accuracy: 0.8148175912043978, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.413507, Train Accuracy: 0.8142928535732133, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.398063, Train Accuracy: 0.816391804097951, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.386650, Train Accuracy: 0.7425537231384308, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.386208, Train Accuracy: 0.8336581709145428, Val Accuracy: 0.5758483033932136
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.362528, Train Accuracy: 0.8187406296851574, Val Accuracy: 0.5758483033932136
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.355786, Train Accuracy: 0.8406546726636681, Val Accuracy: 0.5758483033932136
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.339637, Train Accuracy: 0.7885807096451775, Val Accuracy: 0.5758483033932136
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.342846, Train Accuracy: 0.840279860069965, Val Accuracy: 0.5758483033932136
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.334762, Train Accuracy: 0.8692403798100949, Val Accuracy: 0.5758483033932136
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.312189, Train Accuracy: 0.8710394802598701, Val Accuracy: 0.5758483033932136
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.304654, Train Accuracy: 0.8796851574212894, Val Accuracy: 0.5758483033932136
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.294233, Train Accuracy: 0.8636181909045477, Val Accuracy: 0.5758483033932136
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.279457, Train Accuracy: 0.7369065467266367, Val Accuracy: 0.5758483033932136
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.298311, Train Accuracy: 0.8736631684157921, Val Accuracy: 0.5758483033932136
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.242130, Train Accuracy: 0.9129935032483758, Val Accuracy: 0.5252495009980039
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.245771, Train Accuracy: 0.8984257871064468, Val Accuracy: 0.5024950099800399
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.222356, Train Accuracy: 0.9181159420289855, Val Accuracy: 0.5758483033932136
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.211926, Train Accuracy: 0.8151424287856072, Val Accuracy: 0.5078842315369262
