Epoch 0/500, LR: [0.001], Avg Train Loss: 0.573504, Train Accuracy: 0.7888055972013993, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.422989, Train Accuracy: 0.8011244377811094, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.407133, Train Accuracy: 0.812543728135932, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.397108, Train Accuracy: 0.8169415292353823, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.391429, Train Accuracy: 0.8274612693653174, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.402384, Train Accuracy: 0.8266366816591704, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.380585, Train Accuracy: 0.8037981009495252, Val Accuracy: 0.5758483033932136
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.363982, Train Accuracy: 0.818415792103948, Val Accuracy: 0.5758483033932136
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.358278, Train Accuracy: 0.7742628685657171, Val Accuracy: 0.5758483033932136
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.351020, Train Accuracy: 0.7804597701149425, Val Accuracy: 0.5758483033932136
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.334708, Train Accuracy: 0.8582708645677162, Val Accuracy: 0.5758483033932136
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.327410, Train Accuracy: 0.8628935532233883, Val Accuracy: 0.5758483033932136
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.312404, Train Accuracy: 0.8687406296851574, Val Accuracy: 0.5758483033932136
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.303069, Train Accuracy: 0.8547226386806597, Val Accuracy: 0.5758483033932136
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.305094, Train Accuracy: 0.867016491754123, Val Accuracy: 0.5758483033932136
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.277793, Train Accuracy: 0.8874062968515742, Val Accuracy: 0.5758483033932136
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.262677, Train Accuracy: 0.8891804097951025, Val Accuracy: 0.5758483033932136
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.265596, Train Accuracy: 0.8882308845577211, Val Accuracy: 0.5758483033932136
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.232825, Train Accuracy: 0.894927536231884, Val Accuracy: 0.5758483033932136
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.212166, Train Accuracy: 0.9192153923038481, Val Accuracy: 0.5084830339321357
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.226619, Train Accuracy: 0.9175662168915543, Val Accuracy: 0.5735528942115768
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.185501, Train Accuracy: 0.9252373813093453, Val Accuracy: 0.5860279441117765
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.174941, Train Accuracy: 0.7366816591704148, Val Accuracy: 0.5761477045908183
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.286938, Train Accuracy: 0.9082708645677161, Val Accuracy: 0.575249500998004
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.225070, Train Accuracy: 0.9122188905547226, Val Accuracy: 0.575249500998004
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.206487, Train Accuracy: 0.9265367316341829, Val Accuracy: 0.5383233532934132
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.181712, Train Accuracy: 0.9285857071464267, Val Accuracy: 0.5250499001996008
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.179081, Train Accuracy: 0.9271614192903548, Val Accuracy: 0.5766467065868264
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.172529, Train Accuracy: 0.9300849575212394, Val Accuracy: 0.5822355289421157
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.165492, Train Accuracy: 0.9328585707146427, Val Accuracy: 0.603193612774451
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.165348, Train Accuracy: 0.9349325337331335, Val Accuracy: 0.6587824351297406
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.163339, Train Accuracy: 0.937056471764118, Val Accuracy: 0.6228542914171656
Epoch 32/500, LR: [0.001], Avg Train Loss: 0.159512, Train Accuracy: 0.9346076961519241, Val Accuracy: 0.6429141716566866
Epoch 33/500, LR: [0.001], Avg Train Loss: 0.151016, Train Accuracy: 0.9256371814092954, Val Accuracy: 0.5954091816367265
Epoch 34/500, LR: [0.001], Avg Train Loss: 0.149829, Train Accuracy: 0.9405047476261869, Val Accuracy: 0.7865269461077844
Epoch 35/500, LR: [0.001], Avg Train Loss: 0.148690, Train Accuracy: 0.9356571714142928, Val Accuracy: 0.6955089820359281
Epoch 36/500, LR: [0.001], Avg Train Loss: 0.145130, Train Accuracy: 0.9387056471764118, Val Accuracy: 0.6884231536926148
Epoch 37/500, LR: [0.001], Avg Train Loss: 0.145079, Train Accuracy: 0.9475762118940529, Val Accuracy: 0.7109780439121757
Epoch 38/500, LR: [0.001], Avg Train Loss: 0.147195, Train Accuracy: 0.9495002498750624, Val Accuracy: 0.7523952095808383
Epoch 39/500, LR: [0.001], Avg Train Loss: 0.137549, Train Accuracy: 0.9470514742628686, Val Accuracy: 0.8879241516966068
