Epoch 0/500, LR: [0.001], Avg Train Loss: 0.614104, Train Accuracy: 0.7677661169415292, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.477525, Train Accuracy: 0.7887806096951524, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.454685, Train Accuracy: 0.8107946026986507, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.448854, Train Accuracy: 0.7432033983008496, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.474303, Train Accuracy: 0.8008495752123937, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.441370, Train Accuracy: 0.8141429285357321, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.427875, Train Accuracy: 0.794327836081959, Val Accuracy: 0.5671656686626747
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.405552, Train Accuracy: 0.8345827086456772, Val Accuracy: 0.5339321357285429
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.396066, Train Accuracy: 0.8369565217391305, Val Accuracy: 0.5021956087824351
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.387082, Train Accuracy: 0.8206396801599201, Val Accuracy: 0.5015968063872256
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.401648, Train Accuracy: 0.8253373313343328, Val Accuracy: 0.5021956087824351
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.379942, Train Accuracy: 0.8002748625687156, Val Accuracy: 0.5015968063872256
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.381322, Train Accuracy: 0.819015492253873, Val Accuracy: 0.500998003992016
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.375182, Train Accuracy: 0.7937531234382809, Val Accuracy: 0.5015968063872256
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.370634, Train Accuracy: 0.8229135432283858, Val Accuracy: 0.5018962075848303
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.369781, Train Accuracy: 0.8157421289355322, Val Accuracy: 0.5015968063872256
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.364674, Train Accuracy: 0.8000249875062468, Val Accuracy: 0.500998003992016
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.359243, Train Accuracy: 0.8323088455772114, Val Accuracy: 0.5018962075848303
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.353810, Train Accuracy: 0.6759870064967516, Val Accuracy: 0.500998003992016
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.354220, Train Accuracy: 0.6158920539730135, Val Accuracy: 0.5055888223552895
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.374102, Train Accuracy: 0.8419290354822588, Val Accuracy: 0.5069860279441117
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.352947, Train Accuracy: 0.7993753123438281, Val Accuracy: 0.5015968063872256
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.350501, Train Accuracy: 0.8266116941529236, Val Accuracy: 0.500998003992016
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.347055, Train Accuracy: 0.7886056971514243, Val Accuracy: 0.5015968063872256
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.346408, Train Accuracy: 0.8224387806096951, Val Accuracy: 0.5015968063872256
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.347449, Train Accuracy: 0.7852823588205897, Val Accuracy: 0.5021956087824351
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.352416, Train Accuracy: 0.8410544727636182, Val Accuracy: 0.500998003992016
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.344971, Train Accuracy: 0.8417291354322839, Val Accuracy: 0.500998003992016
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.350496, Train Accuracy: 0.756471764117941, Val Accuracy: 0.500998003992016
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.348236, Train Accuracy: 0.7673663168415792, Val Accuracy: 0.500998003992016
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.352009, Train Accuracy: 0.6946526736631684, Val Accuracy: 0.5033932135728543
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.355938, Train Accuracy: 0.7841329335332334, Val Accuracy: 0.500998003992016
