Epoch 0/500, LR: [0.001], Avg Train Loss: 0.411434, Train Accuracy: 0.8786856571714143, Val Accuracy: 0.500998003992016
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.302874, Train Accuracy: 0.9016991504247877, Val Accuracy: 0.500998003992016
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.296339, Train Accuracy: 0.9007246376811594, Val Accuracy: 0.500998003992016
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.294278, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.299612, Train Accuracy: 0.897376311844078, Val Accuracy: 0.500998003992016
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.288928, Train Accuracy: 0.9013743128435782, Val Accuracy: 0.500998003992016
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.282923, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.280053, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.286680, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.282121, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.284060, Train Accuracy: 0.8998500749625188, Val Accuracy: 0.500998003992016
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.278649, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.278337, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.276199, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.277687, Train Accuracy: 0.9016741629185407, Val Accuracy: 0.500998003992016
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.275809, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.276934, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.275674, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.275109, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.271116, Train Accuracy: 0.9017491254372814, Val Accuracy: 0.500998003992016
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.271449, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.273982, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.272752, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.272619, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.272458, Train Accuracy: 0.9012743628185907, Val Accuracy: 0.500998003992016
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.273223, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.270096, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.268890, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.267424, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.267987, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.267353, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.267976, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 32/500, LR: [0.001], Avg Train Loss: 0.264394, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 33/500, LR: [0.001], Avg Train Loss: 0.264503, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 34/500, LR: [0.001], Avg Train Loss: 0.264972, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 35/500, LR: [0.001], Avg Train Loss: 0.262905, Train Accuracy: 0.9017491254372814, Val Accuracy: 0.500998003992016
Epoch 36/500, LR: [0.001], Avg Train Loss: 0.267857, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 37/500, LR: [0.001], Avg Train Loss: 0.262875, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 38/500, LR: [0.001], Avg Train Loss: 0.262886, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 39/500, LR: [0.001], Avg Train Loss: 0.263540, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 40/500, LR: [0.001], Avg Train Loss: 0.260850, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 41/500, LR: [0.001], Avg Train Loss: 0.260287, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 42/500, LR: [0.001], Avg Train Loss: 0.257627, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 43/500, LR: [0.001], Avg Train Loss: 0.263921, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 44/500, LR: [0.001], Avg Train Loss: 0.257423, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 45/500, LR: [0.001], Avg Train Loss: 0.257090, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 46/500, LR: [0.001], Avg Train Loss: 0.257455, Train Accuracy: 0.9002248875562219, Val Accuracy: 0.500998003992016
Epoch 47/500, LR: [0.001], Avg Train Loss: 0.260545, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 48/500, LR: [0.001], Avg Train Loss: 0.256049, Train Accuracy: 0.9015992003998001, Val Accuracy: 0.500998003992016
Epoch 49/500, LR: [0.001], Avg Train Loss: 0.256019, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 50/500, LR: [0.001], Avg Train Loss: 0.257246, Train Accuracy: 0.9011744127936032, Val Accuracy: 0.500998003992016
Epoch 51/500, LR: [0.001], Avg Train Loss: 0.255374, Train Accuracy: 0.9017741129435283, Val Accuracy: 0.500998003992016
Epoch 52/500, LR: [0.001], Avg Train Loss: 0.253751, Train Accuracy: 0.9007496251874063, Val Accuracy: 0.500998003992016
