Epoch 0/500, LR: [0.001], Avg Train Loss: 0.511313, Train Accuracy: 0.8209645177411294, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.392157, Train Accuracy: 0.823488255872064, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.385243, Train Accuracy: 0.8190904547726137, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.386886, Train Accuracy: 0.8255372313843079, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.382348, Train Accuracy: 0.823888055972014, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.380598, Train Accuracy: 0.8255622188905547, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.378461, Train Accuracy: 0.8188905547226387, Val Accuracy: 0.5758483033932136
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.387385, Train Accuracy: 0.8192153923038481, Val Accuracy: 0.5758483033932136
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.380658, Train Accuracy: 0.8242628685657172, Val Accuracy: 0.5758483033932136
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.380628, Train Accuracy: 0.8254872563718141, Val Accuracy: 0.5758483033932136
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.376906, Train Accuracy: 0.7928785607196401, Val Accuracy: 0.5758483033932136
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.397331, Train Accuracy: 0.8249375312343828, Val Accuracy: 0.5758483033932136
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.377132, Train Accuracy: 0.8252123938030984, Val Accuracy: 0.5758483033932136
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.376150, Train Accuracy: 0.8243128435782109, Val Accuracy: 0.5758483033932136
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.373852, Train Accuracy: 0.81984007996002, Val Accuracy: 0.5758483033932136
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.384334, Train Accuracy: 0.8255372313843079, Val Accuracy: 0.5758483033932136
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.373006, Train Accuracy: 0.8258870564717641, Val Accuracy: 0.5758483033932136
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.373514, Train Accuracy: 0.826936531734133, Val Accuracy: 0.5758483033932136
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.371707, Train Accuracy: 0.8217391304347826, Val Accuracy: 0.5758483033932136
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.371465, Train Accuracy: 0.8275612193903048, Val Accuracy: 0.5758483033932136
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.369918, Train Accuracy: 0.827336331834083, Val Accuracy: 0.5758483033932136
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.371192, Train Accuracy: 0.8252373813093453, Val Accuracy: 0.5758483033932136
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.369346, Train Accuracy: 0.8220889555222389, Val Accuracy: 0.5758483033932136
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.370291, Train Accuracy: 0.8264867566216891, Val Accuracy: 0.5758483033932136
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.369872, Train Accuracy: 0.8257871064467767, Val Accuracy: 0.5758483033932136
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.366331, Train Accuracy: 0.8266116941529236, Val Accuracy: 0.5758483033932136
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.364621, Train Accuracy: 0.8277111444277861, Val Accuracy: 0.5758483033932136
