Epoch 0/500, LR: [0.001], Avg Train Loss: 0.583862, Train Accuracy: 0.7651424287856072, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.460784, Train Accuracy: 0.7372313843078461, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.446035, Train Accuracy: 0.7661419290354823, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.420313, Train Accuracy: 0.7427536231884058, Val Accuracy: 0.5453093812375249
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.428428, Train Accuracy: 0.8148675662168916, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.411582, Train Accuracy: 0.8026736631684158, Val Accuracy: 0.5644710578842316
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.408934, Train Accuracy: 0.8146426786606696, Val Accuracy: 0.5228542914171657
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.409327, Train Accuracy: 0.8341829085457272, Val Accuracy: 0.5411177644710579
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.391043, Train Accuracy: 0.8347076461769115, Val Accuracy: 0.5255489021956088
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.409269, Train Accuracy: 0.8266866566716642, Val Accuracy: 0.5183632734530939
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.389050, Train Accuracy: 0.8376811594202899, Val Accuracy: 0.543812375249501
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.374369, Train Accuracy: 0.8198650674662669, Val Accuracy: 0.52375249500998
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.375097, Train Accuracy: 0.8376061969015492, Val Accuracy: 0.5354291417165669
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.375781, Train Accuracy: 0.8417291354322839, Val Accuracy: 0.5357285429141716
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.365982, Train Accuracy: 0.8236131934032983, Val Accuracy: 0.5102794411177645
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.363700, Train Accuracy: 0.8403548225887056, Val Accuracy: 0.5396207584830339
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.367788, Train Accuracy: 0.840904547726137, Val Accuracy: 0.5198602794411178
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.361816, Train Accuracy: 0.8254122938530735, Val Accuracy: 0.5758483033932136
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.354934, Train Accuracy: 0.8433033483258371, Val Accuracy: 0.5584830339321357
