Epoch 0/500, LR: [0.001], Avg Train Loss: 0.635580, Train Accuracy: 0.7806846576711645, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.486939, Train Accuracy: 0.7714142928535732, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.477564, Train Accuracy: 0.742728635682159, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.459077, Train Accuracy: 0.8103448275862069, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.439161, Train Accuracy: 0.8141929035482259, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.427437, Train Accuracy: 0.7432033983008496, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.438844, Train Accuracy: 0.8147926036981509, Val Accuracy: 0.5758483033932136
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.418069, Train Accuracy: 0.7984257871064467, Val Accuracy: 0.5758483033932136
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.401521, Train Accuracy: 0.8080459770114943, Val Accuracy: 0.575249500998004
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.401460, Train Accuracy: 0.7889305347326336, Val Accuracy: 0.5713572854291418
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.389492, Train Accuracy: 0.8138930534732634, Val Accuracy: 0.5321357285429141
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.386222, Train Accuracy: 0.7916041979010495, Val Accuracy: 0.5758483033932136
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.379816, Train Accuracy: 0.8038980509745127, Val Accuracy: 0.5333333333333333
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.377975, Train Accuracy: 0.83928035982009, Val Accuracy: 0.5758483033932136
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.361163, Train Accuracy: 0.841904047976012, Val Accuracy: 0.5291417165668663
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.340444, Train Accuracy: 0.8433533233383308, Val Accuracy: 0.5069860279441117
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.339491, Train Accuracy: 0.8376061969015492, Val Accuracy: 0.5039920159680639
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.347059, Train Accuracy: 0.8250124937531235, Val Accuracy: 0.5758483033932136
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.330222, Train Accuracy: 0.8257121439280359, Val Accuracy: 0.5363273453093812
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.329114, Train Accuracy: 0.8531984007996002, Val Accuracy: 0.5063872255489021
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.323141, Train Accuracy: 0.8480759620189905, Val Accuracy: 0.5045908183632735
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.315915, Train Accuracy: 0.8249875062468766, Val Accuracy: 0.500998003992016
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.315434, Train Accuracy: 0.8438780609695152, Val Accuracy: 0.500998003992016
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.313681, Train Accuracy: 0.8549475262368815, Val Accuracy: 0.500998003992016
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.306229, Train Accuracy: 0.8435532233883059, Val Accuracy: 0.55249500998004
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.317687, Train Accuracy: 0.8418290854572713, Val Accuracy: 0.500998003992016
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.307778, Train Accuracy: 0.8522488755622188, Val Accuracy: 0.500998003992016
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.305399, Train Accuracy: 0.8457021489255372, Val Accuracy: 0.5081836327345309
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.300683, Train Accuracy: 0.8655172413793103, Val Accuracy: 0.500998003992016
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.286627, Train Accuracy: 0.8261369315342328, Val Accuracy: 0.5049900199600799
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.294760, Train Accuracy: 0.8543978010994503, Val Accuracy: 0.500998003992016
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.286681, Train Accuracy: 0.842503748125937, Val Accuracy: 0.57375249500998
Epoch 32/500, LR: [0.001], Avg Train Loss: 0.278651, Train Accuracy: 0.8676661669165417, Val Accuracy: 0.5719560878243513
Epoch 33/500, LR: [0.001], Avg Train Loss: 0.267430, Train Accuracy: 0.891904047976012, Val Accuracy: 0.5318363273453094
Epoch 34/500, LR: [0.001], Avg Train Loss: 0.227368, Train Accuracy: 0.8883558220889555, Val Accuracy: 0.5823353293413174
Epoch 35/500, LR: [0.001], Avg Train Loss: 0.223349, Train Accuracy: 0.842103948025987, Val Accuracy: 0.5543912175648703
Epoch 36/500, LR: [0.001], Avg Train Loss: 0.178322, Train Accuracy: 0.9150674662668665, Val Accuracy: 0.591816367265469
Epoch 37/500, LR: [0.001], Avg Train Loss: 0.133631, Train Accuracy: 0.9869565217391304, Val Accuracy: 0.7346307385229541
Epoch 38/500, LR: [0.001], Avg Train Loss: 0.061467, Train Accuracy: 0.9891804097951025, Val Accuracy: 0.5832335329341317
Epoch 39/500, LR: [0.001], Avg Train Loss: 0.192589, Train Accuracy: 0.8786606696651674, Val Accuracy: 0.5817365269461078
Epoch 40/500, LR: [0.001], Avg Train Loss: 0.103353, Train Accuracy: 0.8576211894052973, Val Accuracy: 0.9947105788423154
Epoch 41/500, LR: [0.001], Avg Train Loss: 0.051593, Train Accuracy: 0.9996751624187906, Val Accuracy: 0.9994011976047904
Epoch 42/500, LR: [0.001], Avg Train Loss: 0.021009, Train Accuracy: 0.9065967016491754, Val Accuracy: 0.9093812375249501
Epoch 43/500, LR: [0.001], Avg Train Loss: 0.089139, Train Accuracy: 0.9996751624187906, Val Accuracy: 0.9994011976047904
Epoch 44/500, LR: [0.001], Avg Train Loss: 0.008451, Train Accuracy: 0.9995752123938031, Val Accuracy: 0.9994011976047904
Epoch 45/500, LR: [0.001], Avg Train Loss: 0.006779, Train Accuracy: 0.9999000499750125, Val Accuracy: 0.9994011976047904
Epoch 46/500, LR: [0.001], Avg Train Loss: 0.004763, Train Accuracy: 0.9998250874562719, Val Accuracy: 0.9994011976047904
Epoch 47/500, LR: [0.001], Avg Train Loss: 0.003748, Train Accuracy: 0.9999000499750125, Val Accuracy: 0.9994011976047904
Epoch 48/500, LR: [0.001], Avg Train Loss: 0.003655, Train Accuracy: 0.9995752123938031, Val Accuracy: 0.9994011976047904
Epoch 49/500, LR: [0.001], Avg Train Loss: 0.102604, Train Accuracy: 0.9998250874562719, Val Accuracy: 0.9994011976047904
Epoch 50/500, LR: [0.001], Avg Train Loss: 0.009079, Train Accuracy: 0.9998250874562719, Val Accuracy: 0.9994011976047904
