Epoch 0/500, LR: [0.001], Avg Train Loss: 0.427813, Train Accuracy: 0.840679660169915, Val Accuracy: 0.500998003992016
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.339575, Train Accuracy: 0.8192903548225887, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.312831, Train Accuracy: 0.823888055972014, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.289674, Train Accuracy: 0.8948775612193903, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.239669, Train Accuracy: 0.878335832083958, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.218459, Train Accuracy: 0.887056471764118, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.185555, Train Accuracy: 0.9216891554222889, Val Accuracy: 0.5758483033932136
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.175841, Train Accuracy: 0.9247376311844078, Val Accuracy: 0.5758483033932136
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.169846, Train Accuracy: 0.9283608195902049, Val Accuracy: 0.5758483033932136
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.168106, Train Accuracy: 0.9252623688155922, Val Accuracy: 0.5758483033932136
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.156495, Train Accuracy: 0.929960019990005, Val Accuracy: 0.6767465069860279
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.170894, Train Accuracy: 0.9363068465767116, Val Accuracy: 0.626746506986028
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.159096, Train Accuracy: 0.925512243878061, Val Accuracy: 0.5758483033932136
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.150688, Train Accuracy: 0.9362568715642179, Val Accuracy: 0.5760479041916168
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.126230, Train Accuracy: 0.9414542728635682, Val Accuracy: 0.5760479041916168
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.129118, Train Accuracy: 0.949575212393803, Val Accuracy: 0.5758483033932136
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.128599, Train Accuracy: 0.9487506246876561, Val Accuracy: 0.5758483033932136
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.120014, Train Accuracy: 0.9524487756121939, Val Accuracy: 0.5758483033932136
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.108446, Train Accuracy: 0.9560969515242379, Val Accuracy: 0.5770459081836328
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.105982, Train Accuracy: 0.9627686156921539, Val Accuracy: 0.6125748502994012
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.101780, Train Accuracy: 0.9595702148925537, Val Accuracy: 0.5758483033932136
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.100368, Train Accuracy: 0.9568465767116442, Val Accuracy: 0.5758483033932136
